SYMBOL,TICKER,COMPANY NAME,CURRENT PRICE,OPEN,HIGH,LOW,CLOSE PRICE,CHANGE,CHANGE %,VOLUME AVG,52WHIGH,52W-LOW,MARKET CAP(CR),3D CHART
COCHINSHIP,NSE:COCHINSHIP,Cochin Shipyard Limited,1675.5,1680,1694.8,1670.4,1677.2,-1.7,-0.1,849514,2545,1180.2,43587.37853,
COFFEEDAY,NSE:COFFEEDAY,Coffee Day Enterprises Limited,36.49,36.01,36.78,36.01,35.83,0.66,1.84,372396,51.46,21.28,766.0948137,
COFORGE,NSE:COFORGE,Coforge Limited,1907,1878,1915,1872,1871.1,35.9,1.92,1408894,2005.36,1194.01,11783.88109,
COHANCE,NSE:COHANCE,Cohance Lifesciences Limited,571,571.1,578.75,564.05,568.15,2.85,0.5,1023122,1121.15,556.35,21790.91883,
COLPAL,NSE:COLPAL,Colgate Palmolive (India) Limited,2166.9,2185,2197.6,2160.4,2185,-18.1,-0.83,455071,3115,2147.8,59114.3479,
COMPINFO,NSE:COMPINFO,Compuage Infocom Limited,1.75,1.75,1.9,1.75,1.85,-0.1,-5.41,25193,3.53,1.26,15.1670416,
COMPUSOFT,NSE:COMPUSOFT,Compucom Software Limited,16.98,17.18,17.8,16.96,16.96,0.02,0.12,22342,31.8,15.94,133.3219422,
COMSYN,NSE:COMSYN,Commercial Syn Bags Limited,138,138.4,139.9,138,138.11,-0.11,-0.08,90784,163.95,65,550.497732,
CONCOR,NSE:CONCOR,Container Corporation of India Limited,514.4,518.65,520.45,513,518.6,-4.2,-0.81,2757465,692.8,481,38693.94658,
CONCORDBIO,NSE:CONCORDBIO,Concord Biotech Limited,1429.9,1439.9,1450.4,1420.2,1439.8,-9.9,-0.69,83138,2451.7,1345,14588.71229,
CONFIPET,NSE:CONFIPET,Confidence Petroleum India Limited,38.3,38.99,39.37,38.11,38.89,-0.59,-1.52,406641,84.04,37.89,1257.219689,
CONSOFINVT,NSE:CONSOFINVT,Consolidated Finvest & Holdings Limited,166.46,167,168.86,165,166.44,0.02,0.01,4320,249,160,543.0426463,
CONTROLPR,NSE:CONTROLPR,Control Print Limited,766,762,767,755.7,760.7,5.3,0.7,33114,917.5,547,1162.53905,
CORALFINAC,NSE:CORALFINAC,Coral India Finance & Housing Limited,39.4,39.59,40.1,38.1,38.95,0.45,1.16,24793,65.49,33.7,153.9681139,
CORDSCABLE,NSE:CORDSCABLE,Cords Cable Industries Limited,196.5,202.59,212,194,185.8,10.7,5.76,30082,246.45,146.65,250.78482,
COROMANDEL,NSE:COROMANDEL,Coromandel International Limited,2372,2309,2373,2301.4,2298,74,3.22,359714,2718.9,1596,70001.12503,
COSMOFIRST,NSE:COSMOFIRST,COSMO FIRST LIMITED,715,711,716.95,696,711.55,3.45,0.48,48530,1307.2,525.7,1823.984,
COUNCODOS,NSE:COUNCODOS,Country Condo's Limited,6.23,6.27,6.27,6.1,6.16,0.07,1.14,62720,11.92,5.31,48.9424661,
CPCAP,NSE:CPCAP,CP Capital Limited,115.6,115.89,117.4,115.27,114.78,0.82,0.71,21086,273.31,108.54,213.0768,
CPPLUS,NSE:CPPLUS,Aditya Infotech Limited,1570.5,1600,1648,1542.5,1586.4,-15.9,-1,276550,1745.1,1015,18605.98049,
CRAFTSMAN,NSE:CRAFTSMAN,Craftsman Automation Limited,7069,7101,7105,6962,7101,-32,-0.45,68996,7378.5,3700,15731.67071,
CREATIVE,NSE:CREATIVE,Creative Newtech Limited,685,683.55,689.95,674.6,682.85,2.15,0.31,19799,1075,594.75,1012.804695,
CREATIVEYE,NSE:CREATIVEYE,Creative Eye Limited,6.93,6.84,7.11,6.84,6.8,0.13,1.91,22538,12.19,5.27,14.8035406,
CREDITACC,NSE:CREDITACC,CREDITACCESS GRAMEEN LIMITED,1368.5,1370,1377,1350.1,1370,-1.5,-0.11,536502,1490.1,750.2,22130.91671,
CREST,NSE:CREST,Crest Ventures Limited,402,355.6,410,347,350.4,51.6,14.73,7933,510.75,319.1,1040.532339,
CRISIL,NSE:CRISIL,CRISIL Limited,4440,4561,4561,4425,4532.5,-92.5,-2.04,35095,6950,3973.6,32338.2072,
CRIZAC,NSE:CRIZAC,Crizac Limited,297.9,277.65,304.9,277.65,277.6,20.3,7.31,611283,387.95,254.65,4852.08405,
CROMPTON,NSE:CROMPTON,Crompton Greaves Consumer Electricals Limited,266.9,269.05,269.25,266.15,268.35,-1.45,-0.54,2759426,419.45,262.15,16906.29969,
CROWN,NSE:CROWN,Crown Lifters Limited,134.4,142,142,134,140.66,-6.26,-4.45,30575,241.04,125.01,146.6095613,
CSBBANK,NSE:CSBBANK,CSB Bank Limited,416.95,427.8,427.8,413.4,423.9,-6.95,-1.64,449046,447,272.75,7023.577159,
CSLFINANCE,NSE:CSLFINANCE,CSL Finance Limited,284.4,293,293,283.65,288.8,-4.4,-1.52,18464,380.2,227.45,620.1560854,
CTE,NSE:CTE,Cambridge Technology Enterprises Limited,45.95,45.9,45.95,45.29,43.77,2.18,4.98,40508,116.67,34.11,79.8231925,
CUB,NSE:CUB,City Union Bank Limited,274.86,276.95,276.95,272.26,278.64,-3.78,-1.36,4551324,283.09,142.91,20480.3642,
CUBEXTUB,NSE:CUBEXTUB,Cubex Tubings Limited,93,99,99.74,91,90.68,2.32,2.56,31408,143.25,67.11,122.624127,
CUMMINSIND,NSE:CUMMINSIND,Cummins India Limited,4436.9,4418,4463.8,4358,4408.2,28.7,0.65,544384,4495,2580,119303.0028,
CUPID,NSE:CUPID,Cupid Limited,330.57,323.69,333.3,322.7,319.95,10.62,3.32,3326303,345.84,55.75,9284.193377,
CURAA,NSE:CURAA,Cura Technologies Limited,119.86,113.02,119.86,108.45,114.16,5.7,4.99,1372,337,24.43,118.9739548,
CYBERMEDIA,NSE:CYBERMEDIA,Cyber Media (India) Limited,16.99,17.12,17.38,16.56,17.12,-0.13,-0.76,4217,27.9,11.01,29.8322308,
CYBERTECH,NSE:CYBERTECH,Cybertech Systems And Software Limited,145.7,145,146.85,142.55,144.45,1.25,0.87,62990,274.8,125.12,446.13761,
CYIENT,NSE:CYIENT,Cyient Limited,1116,1121.6,1124.7,1109,1118.4,-2.4,-0.21,430263,2112,1084.05,12249.58428,
CYIENTDLM,NSE:CYIENTDLM,Cyient DLM Limited,432.5,433.95,438.55,428.85,431.95,0.55,0.13,191009,744.25,378.6,3330.851093,
DABUR,NSE:DABUR,Dabur India Limited,520.25,517.25,520.5,514.75,517.2,3.05,0.59,2423326,577,433.3,90931.1679,
DALBHARAT,NSE:DALBHARAT,Dalmia Bharat Limited,2014.2,2030,2030.2,1997,2026.6,-12.4,-0.61,263925,2496.3,1601,37777.46759,
DALMIASUG,NSE:DALMIASUG,Dalmia Bharat Sugar and Industries Limited,310.2,314,314.6,309.2,312.45,-2.25,-0.72,64155,474.9,291,2527.289457,
DAMCAPITAL,NSE:DAMCAPITAL,Dam Capital Advisors Limited,227.48,230.7,233.64,226.25,229.57,-2.09,-0.91,1551132,456.9,195.55,1569.00013,
DAMODARIND,NSE:DAMODARIND,Damodar Industries Limited,32.4,30.5,33.3,30.5,30.31,2.09,6.9,6158,47.15,28,75.5987574,
DANGEE,NSE:DANGEE,Dangee Dums Limited,3.63,3.87,3.88,3.45,3.77,-0.14,-3.71,94829,9.55,3.45,56.4789176,
DATAMATICS,NSE:DATAMATICS,Datamatics Global Services Limited,841.9,854,858.95,836.4,854,-12.1,-1.42,203455,1120,522,4931.311527,
DATAPATTNS,NSE:DATAPATTNS,Data Patterns (India) Limited,2963,2950,3023.6,2937.2,2941.8,21.2,0.72,665524,3268.8,1351.15,16652.70547,
DAVANGERE,NSE:DAVANGERE,Davangere Sugar Company Limited,3.99,3.7,4.03,3.64,3.6,0.39,10.83,4332703,6.34,3.03,556.4813113,
DBCORP,NSE:DBCORP,D.B.Corp Limited,258.65,260,262.4,256.15,258.7,-0.05,-0.02,150503,343.75,189.05,4639.295432,
DBEIL,NSE:DBEIL,Deepak Builders & Engineers India Limited,134,136.95,136.95,133,135.44,-1.44,-1.06,69839,214,128.5,616.07974,
DBL,NSE:DBL,Dilip Buildcon Limited,467.8,468.2,475,461.85,467.4,0.4,0.09,500070,585,363.15,7160.731363,
DBOL,NSE:DBOL,Dhampur Bio Organics Limited,76.2,73.72,77.38,73,73.72,2.48,3.36,68888,133.93,57.34,481.4843873,
DBREALTY,NSE:DBREALTY,Valor Estate Limited,134.6,136.7,137.66,134,135.52,-0.92,-0.68,1181387,217.29,98.99,7005.23075,
DBSTOCKBRO,NSE:DBSTOCKBRO,DB (International) Stock Brokers Limited,25.07,25,25.36,24.78,24.93,0.14,0.56,39448,52,24.32,87.910325,
DCAL,NSE:DCAL,Dishman Carbogen Amcis Limited,240.8,245.5,246.3,238.05,244.2,-3.4,-1.39,227962,321.95,178,3559.093877,
DCBBANK,NSE:DCBBANK,DCB Bank Limited,183.4,186,186.01,181.76,185.82,-2.42,-1.3,6419053,189.15,101.41,5840.871654,
DCI,NSE:DCI,Dc Infotech And Communication Limited,256,247.85,277,245.8,244.55,11.45,4.68,16706,449.9,201.35,401.0236096,
DCM,NSE:DCM,DCM Limited,95.29,94.03,96.09,94,94.5,0.79,0.84,21864,141.88,89,180.894735,
DCMFINSERV,NSE:DCMFINSERV,DCM Financial Services Limited,5.55,5.59,5.6,5.39,5.5,0.05,0.91,25197,9.21,4.91,11.8140412,
DCMNVL,NSE:DCMNVL,DCM Nouvelle Limited,137.33,137.65,143.03,136.16,137.45,-0.12,-0.09,23682,226.43,130.1,262.1939519,
DCMSHRIRAM,NSE:DCMSHRIRAM,DCM Shriram Limited,1225,1246.3,1251.6,1212.8,1259,-34,-2.7,276266,1502.3,902.6,18966.62481,
DCMSRIND,NSE:DCMSRIND,DCM Shriram Industries Limited,171.52,170.45,172.22,168.4,171.19,0.33,0.19,109583,214,142.11,1476.320434,
DCW,NSE:DCW,DCW Limited,62.85,63.29,64.19,62.71,63.02,-0.17,-0.27,1623916,107.8,62.38,1847.189514,
DCXINDIA,NSE:DCXINDIA,DCX Systems Limited,185,187.64,189.75,183.5,186.89,-1.89,-1.01,582375,393,178,1960.69105,
DDEVPLSTIK,NSE:DDEVPLSTIK,Ddev Plastiks Industries Limited,274.95,278.15,282.25,272.75,277.35,-2.4,-0.87,105209,360,212.55,2828.070727,
DECCANCE,NSE:DECCANCE,Deccan Cements Limited,760.1,757.5,783,747.6,756,4.1,0.54,60347,1164.9,577.95,1109.448005,
DEEDEV,NSE:DEEDEV,DEE Development Engineers Limited,217,220.4,220.5,216,217.85,-0.85,-0.39,119068,360,167,1492.578297,
DEEPAKFERT,NSE:DEEPAKFERT,Deepak Fertilizers and Petrochemicals Corporation Limited,1382,1390.9,1413.9,1370.3,1391.7,-9.7,-0.7,273131,1778.6,888.9,17378.625,
DEEPAKNTR,NSE:DEEPAKNTR,Deepak Nitrite Limited,1558.2,1570.1,1590,1557.6,1569.5,-11.3,-0.72,106774,2778,1557.6,21890.71482,
DEEPINDS,NSE:DEEPINDS,Deep Industries Limited,465.3,474.05,476.7,461.05,469.15,-3.85,-0.82,147163,624.4,381,2885.607661,
DELHIVERY,NSE:DELHIVERY,Delhivery Limited,424.8,419.45,426.9,415.95,419.4,5.4,1.29,3490180,490,236.53,30574.96213,
DELPHIFX,NSE:DELPHIFX,DELPHI WORLD MONEY LIMITED,228.5,221,231,215.19,216.75,11.75,5.42,68439,251,101.64,374.452229,
DELTACORP,NSE:DELTACORP,Delta Corp Limited,69.09,68.35,69.59,68.11,67.98,1.11,1.63,806765,131.45,67.51,1840.158414,
DELTAMAGNT,NSE:DELTAMAGNT,Delta Manufacturing Limited,71.41,68.77,71.41,68,64.92,6.49,10,5493,136.04,55.01,76.1681338,
DEN,NSE:DEN,Den Networks Limited,32,31.52,32.32,31.5,31.47,0.53,1.68,302675,46.74,28.14,1463.833118,
DENORA,NSE:DENORA,De Nora India Limited,719.95,687.85,724.9,687.85,692.9,27.05,3.9,3960,1457.9,675,369.6386049,
DENTA,NSE:DENTA,Denta Water and Infra Solutions Limited,382,384,391.7,378.8,380.8,1.2,0.32,256139,479.6,251.25,954.783558,
DEVIT,NSE:DEVIT,Dev Information Technology Limited,40.1,40.3,40.83,40.02,40.15,-0.05,-0.12,106479,76.4,37.5,225.0885094,
DEVYANI,NSE:DEVYANI,Devyani International Limited,136.27,139.5,140.92,135,139.2,-2.93,-2.1,2485978,209.75,134,16403.719,
DGCONTENT,NSE:DGCONTENT,Digicontent Limited,34.91,34.74,35,33.36,34.74,0.17,0.49,65875,68.5,28.51,197.8778735,
DHAMPURSUG,NSE:DHAMPURSUG,Dhampur Sugar Mills Limited,127,129,129.39,126.61,128.07,-1.07,-0.84,135014,193.98,110,816.132861,
DHANBANK,NSE:DHANBANK,Dhanlaxmi Bank Limited,27.39,27.46,27.8,27.16,27.46,-0.07,-0.25,967583,36.49,22,1042.496556,
DHANI,NSE:DHANI,Dhani Services Limited,50.46,#N/A,#N/A,#N/A,51.06,-0.6,-1.18,2060770,109.88,49.85,3169.974831,#N/A
DHANUKA,NSE:DHANUKA,Dhanuka Agritech Limited,1248.5,1255,1264.9,1235.3,1250,-1.5,-0.12,49106,1975,1092.05,5460.434518,
DHARAN,NSE:DHARAN,DHARAN INFRA-EPC LIMITED,0.38,0.38,0.39,0.36,0.38,0,0,16416080,0.61,0.36,202.8315714,
DHARMAJ,NSE:DHARMAJ,Dharmaj Crop Guard Limited,241.9,244,248.75,241.25,245.5,-3.6,-1.47,66806,386.5,165.1,803.570156,
DHRUV,NSE:DHRUV,Dhruv Consultancy Services Limited,49.45,50.1,51,48.5,49.86,-0.41,-0.82,8458,168.33,46.6,90.7998936,
DHUNINV,NSE:DHUNINV,Dhunseri Investments Limited,1228,1223.2,1231.6,1210.9,1224.5,3.5,0.29,1597,2448.9,1200.9,748.3196224,
DIACABS,NSE:DIACABS,Diamond Power Infrastructure Limited,141.84,142.14,143,139.5,141.67,0.17,0.12,1234960,183.5,81.5,7386.323483,
DIAMINESQ,NSE:DIAMINESQ,Diamines & Chemicals Limited,258.95,272,272,254.95,266.4,-7.45,-2.8,10121,566.1,251.15,252.0021762,
DIAMONDYD,NSE:DIAMONDYD,Prataap Snacks Limited,1088,1051.3,1094.3,1033.4,1040.9,47.1,4.52,52565,1295.7,889.2,2503.281547,
DICIND,NSE:DICIND,DIC India Limited,520,527.3,537,513.1,527.25,-7.25,-1.38,1428,824.1,485,457.061852,
DIFFNKG,NSE:DIFFNKG,Diffusion Engineers Limited,295.3,296,304,292,297.8,-2.5,-0.84,114378,418.2,231.85,1122.91423,
DIGIDRIVE,NSE:DIGIDRIVE,Digidrive Distributors Limited,28.22,27.68,28.39,27.43,27.69,0.53,1.91,35523,52.1,25.25,107.1603677,
DIGISPICE,NSE:DIGISPICE,DiGiSPICE Technologies Limited,23.8,22.62,24.15,22.62,23,0.8,3.48,47920,35.5,17.09,554.3417017,
DIGITIDE,NSE:DIGITIDE,Digitide Solutions Limited,140,140.77,142.5,137.14,140.77,-0.77,-0.55,197731,279.69,137.14,2078.90137,
DIGJAMLMTD,NSE:DIGJAMLMTD,Digjam Limited,42.5,40.8,42.95,40.8,42.95,-0.45,-1.05,2578,94,31.46,82.57624,
DIL,NSE:DIL,Debock Industries Limited,1.92,1.89,1.92,1.84,1.87,0.05,2.67,235031,6.08,1.67,31.5768952,
DISHTV,NSE:DISHTV,Dish TV India Limited,4.26,4.2,4.28,4.13,4.13,0.13,3.15,3201354,12.49,4.04,789.5874734,
DIVGIITTS,NSE:DIVGIITTS,Divgi Torqtransfer Systems Limited,585,590,596.55,579.85,591.3,-6.3,-1.07,7776,712,410.1,1802.5605,
DIVISLAB,NSE:DIVISLAB,Divi's Laboratories Limited,6498,6514.5,6542,6451,6510,-12,-0.18,326065,7071.5,4955,167599.535,
DIXON,NSE:DIXON,Dixon Technologies (India) Limited,14629,14860,14890,14535,14825,-196,-1.32,246023,19148.9,12202.2,88447.29737,
DJML,NSE:DJML,DJ Mediaprint & Logistics Limited,70.69,72.7,74.49,69.3,71.97,-1.28,-1.78,71647,209.7,66.98,245.0430055,
DLF,NSE:DLF,DLF Limited,725.4,732,734,723.5,730.75,-5.35,-0.73,2115502,896.6,601.2,175409.7778,
DLINKINDIA,NSE:DLINKINDIA,D-Link (India) Limited,442.2,434.8,454.4,434.8,435.25,6.95,1.6,58532,645.1,349.45,1537.593119,
DMART,NSE:DMART,Avenue Supermarts Limited,4014.9,4029,4038,3986,4019.1,-4.2,-0.1,321956,4949.5,3340,260720.389,
DMCC,NSE:DMCC,DMCC SPECIALITY CHEMICALS LIMITED,260.5,261.65,263.2,257.05,259.75,0.75,0.29,24662,452.7,246,639.992753,
DNAMEDIA,NSE:DNAMEDIA,Diligent Media Corporation Limited,4.03,4.15,4.2,4.02,4.14,-0.11,-2.66,48379,7.17,3.9,46.0430747,
DODLA,NSE:DODLA,Dodla Dairy Limited,1254.2,1258.6,1258.6,1227.7,1253.7,0.5,0.04,53775,1525,965.5,7177.097765,
DOLATALGO,NSE:DOLATALGO,Dolat Algotech Limited,70.4,70.13,70.84,69.49,70.13,0.27,0.39,316436,141.48,68,1213.612954,
DOLLAR,NSE:DOLLAR,Dollar Industries Limited,348.2,354.2,356.6,347.5,353.9,-5.7,-1.61,76691,556,337.1,1982.098624,
DOLPHIN,NSE:DOLPHIN,Dolphin Offshore Enterprises (India) Limited,346.2,357.5,357.5,344,353.9,-7.7,-2.18,34556,608,201,1424.227559,
DOMS,NSE:DOMS,DOMS Industries Limited,2521.4,2533.8,2554.7,2515.1,2549.4,-28,-1.1,36256,3115,2092.3,15034.95633,
DONEAR,NSE:DONEAR,Donear Industries Limited,107.48,100.1,116.51,100.1,100.4,7.08,7.05,60111,184.99,90,554.6350802,
DPABHUSHAN,NSE:DPABHUSHAN,D. P. Abhushan Limited,1540.2,1533.6,1577,1532,1529,11.2,0.73,31628,1895,1290,3569.534974,
DPSCLTD,NSE:DPSCLTD,DPSC Limited,10.85,10.73,10.95,10.6,10.59,0.26,2.46,94396,18.99,10.52,1055.876033,
DPWIRES,NSE:DPWIRES,D P Wires Limited,208,209.8,213.97,208,209.8,-1.8,-0.86,17042,395,185.99,317.0657861,
DRCSYSTEMS,NSE:DRCSYSTEMS,DRC Systems India Limited,18.05,18,18.46,18,18.12,-0.07,-0.39,79329,34.9,16.15,241.2600803,
DREAMFOLKS,NSE:DREAMFOLKS,Dreamfolks Services Limited,120,118.6,123.26,118.6,122.5,-2.5,-2.04,263445,434.95,99.3,633.38184,
DREDGECORP,NSE:DREDGECORP,Dredging Corporation of India Limited,820,824.5,824.5,802.75,819.85,0.15,0.02,576563,970.05,495,2293.548363,
DRREDDY,NSE:DRREDDY,Dr. Reddy's Laboratories Limited,1249.7,1248,1256,1241,1248,1.7,0.14,1854535,1405.9,1020,101676.6003,
DSSL,NSE:DSSL,Dynacons Systems & Solutions Limited,930,937.1,946.4,900.6,936.2,-6.2,-0.66,22581,1618.2,820.55,1147.645602,
DTIL,NSE:DTIL,Dhunseri Tea & Industries Limited,159.4,159,162,159,159,0.4,0.25,32027,314,146.32,166.1843764,
DUCON,NSE:DUCON,Ducon Infratechnologies Limited,4.29,4.38,4.46,4.06,4.38,-0.09,-2.05,751266,8.97,4.06,142.1300153,
DVL,NSE:DVL,Dhunseri Ventures Limited,296.25,296.15,297.95,293,296.15,0.1,0.03,139407,444.4,291.9,1022.631205,
DWARKESH,NSE:DWARKESH,Dwarikesh Sugar Industries Limited,41.5,41.17,41.7,40.8,41.17,0.33,0.8,386189,66.9,34.42,746.497435,
DYCL,NSE:DYCL,Dynamic Cables Limited,334,341.4,341.4,333,338.9,-4.9,-1.45,292193,547.5,227.5,1643.676615,
DYNAMATECH,NSE:DYNAMATECH,Dynamatic Technologies Limited,8879,9140,9200,8852.5,9051,-172,-1.9,31757,9876,5444.15,5942.887841,
DYNPRO,NSE:DYNPRO,Dynemic Products Limited,270.45,272.05,273.25,270.45,271.4,-0.95,-0.35,21831,470,252.35,322.6263103,
E2E,NSE:E2E,E2E Networks Limited,2305,2374,2394.9,2300,2345.7,-40.7,-1.74,95070,4680.4,1710.05,4578.207135,
EASEMYTRIP,NSE:EASEMYTRIP,Easy Trip Planners Limited,7.16,7.16,7.33,7.11,7.13,0.03,0.42,11554507,19,7.08,1268.409725,
EASTSILK,NSE:EASTSILK,Eastern Silk Industries Limited,74.12,81.07,81.07,74,77.21,-3.09,-4,472,81.07,24,36.84698,
EBGNG,NSE:EBGNG,GNG Electronics Limited,336.5,334,339.9,331.7,331.8,4.7,1.42,237401,401.7,300,3745.38115,
ECLERX,NSE:ECLERX,eClerx Services Limited,4462.5,4459,4512,4432.7,4428.8,33.7,0.76,176774,4867.9,2168,21252.57146,
ECOSMOBLTY,NSE:ECOSMOBLTY,Ecos (India) Mobility & Hospitality Limited,242.9,245,252.93,238.44,242.28,0.62,0.26,571130,358.4,165,1445.48361,
EDELWEISS,NSE:EDELWEISS,Edelweiss Financial Services Limited,111.7,112.51,113.26,111.01,112.39,-0.69,-0.61,5615853,142.45,73.5,10276.14555,
EDUCOMP,NSE:EDUCOMP,Educomp Solutions Limited,1.43,1.32,1.43,1.32,1.37,0.06,4.38,11667,2.24,1.26,17.05376,
EFCIL,NSE:EFCIL,EFC (I) Limited,263.95,266,269.7,258.75,264.85,-0.9,-0.34,302595,357,258.75,2614.65266,
EICHERMOT,NSE:EICHERMOT,Eicher Motors Limited,7004,7210,7210.5,6981,7198.5,-194.5,-2.7,456668,7284.5,4646,191956.0453,
EIDPARRY,NSE:EIDPARRY,EID Parry India Limited,1030,1035.2,1036.9,1026,1032.6,-2.6,-0.25,180781,1246.8,639,17947.647,
EIEL,NSE:EIEL,Enviro Infra Engineers Limited,217.45,216.9,219.15,216.05,216.35,1.1,0.51,758815,391.6,182,3666.641849,
EIFFL,NSE:EIFFL,Euro India Fresh Foods Limited,214.12,221.9,227.5,212,221.89,-7.77,-3.5,19973,292.05,167.75,535.6772672,
EIHAHOTELS,NSE:EIHAHOTELS,EIH Associated Hotels Limited,368,362.15,368,360,360.7,7.3,2.02,14890,455.7,304,2217.792112,
EIHOTEL,NSE:EIHOTEL,EIH Limited,373,375.2,379,371.25,375.25,-2.25,-0.6,200487,441.75,305,23105.5596,
EIMCOELECO,NSE:EIMCOELECO,Eimco Elecon (India) Limited,1629,1620.4,1661,1620.2,1628.3,0.7,0.04,26431,3019.9,1301,903.3640677,
EKC,NSE:EKC,Everest Kanto Cylinder Limited,121,122.36,123.78,120.75,122.37,-1.37,-1.12,317106,231.57,103,1309.4015,
ELDEHSG,NSE:ELDEHSG,Eldeco Housing And Industries Limited,787,832.25,832.25,783.05,774.55,12.45,1.61,2474,998.9,658.1,795.707368,
ELECON,NSE:ELECON,Elecon Engineering Company Limited,500,507.5,507.5,495.9,503.15,-3.15,-0.63,278276,716.25,376.95,10965.94,
ELECTCAST,NSE:ELECTCAST,Electrosteel Castings Limited,74.48,75.99,76.52,74.2,75.46,-0.98,-1.3,1227696,170.7,71.9,4391.489958,
ELECTHERM,NSE:ELECTHERM,Electrotherm (India) Limited,851,855,877.4,847.45,872.5,-21.5,-2.46,20406,1455,673.35,1055.993135,
ELGIEQUIP,NSE:ELGIEQUIP,Elgi Equipments Limited,498.5,503.2,507.55,492.95,498.65,-0.15,-0.03,761031,669,401,15565.71235,
ELGIRUBCO,NSE:ELGIRUBCO,Elgi Rubber Company Limited,53.28,50.95,53.28,50.4,51.02,2.26,4.43,18366,154.98,48.2,270.6476352,
ELIN,NSE:ELIN,Elin Electronics Limited,185.4,184.5,186.58,182.78,185.42,-0.02,-0.01,127248,235,108.21,854.7657216,
ELLEN,NSE:ELLEN,Ellenbarrie Industrial Gases Limited,394,396.45,400,392.6,397.15,-3.15,-0.79,150194,637.7,388,5452.84968,
EMAMILTD,NSE:EMAMILTD,Emami Limited,528,528.2,538.45,522,514.05,13.95,2.71,458994,689.5,498.45,22984.15013,
EMAMIPAP,NSE:EMAMIPAP,Emami Paper Mills Limited,91.97,91.29,93.99,91.18,91.29,0.68,0.74,15894,128,82.51,549.858747,
EMAMIREAL,NSE:EMAMIREAL,Emami Realty Limited,85.69,81.79,85.69,81.76,81.61,4.08,5,29813,157.16,72.87,362.1382,
EMBDL,NSE:EMBDL,Embassy Developments Limited,78.15,79.96,80.28,77.72,79.18,-1.03,-1.3,4126059,163.69,76.25,10582.42289,
EMCURE,NSE:EMCURE,Emcure Pharmaceuticals Limited,1415,1414,1418.4,1391,1397.2,17.8,1.27,295391,1519.9,889,26005.9737,
EMIL,NSE:EMIL,Electronics Mart India Limited,122.8,122.75,123.68,121.45,121.51,1.29,1.06,681771,185.65,111.11,4696.365773,
EMKAY,NSE:EMKAY,Emkay Global Financial Services Limited,295,310.8,310.8,295,302.05,-7.05,-2.33,20180,409.9,168,730.247894,
EMMBI,NSE:EMMBI,Emmbi Industries Limited,102.95,104,104.11,102.33,102.83,0.12,0.12,21851,177.99,79.96,192.2401928,
EMSLIMITED,NSE:EMSLIMITED,EMS Limited,441.4,446.25,451.55,439.8,447.05,-5.65,-1.26,169947,1016,429,2357.314765,
EMUDHRA,NSE:EMUDHRA,eMudhra Limited,616.9,618.85,624.5,613.75,616.3,0.6,0.1,67551,1024,603.9,5064.845632,
ENDURANCE,NSE:ENDURANCE,Endurance Technologies Limited,2670,2695.1,2695.1,2654.4,2683.4,-13.4,-0.5,126454,3079.9,1675,37681.1493,
ENERGYDEV,NSE:ENERGYDEV,Energy Development Company Limited,22.7,24.39,25.2,22.21,23.96,-1.26,-5.26,511140,37.9,16.4,110.0111721,
ENGINERSIN,NSE:ENGINERSIN,Engineers India Limited,199.85,200.9,202.75,199,199.34,0.51,0.26,1928007,255.45,142.2,11167.88814,
ENIL,NSE:ENIL,Entertainment Network (India) Limited,124.9,126.02,127.12,123.5,127.1,-2.2,-1.73,19188,198.5,121,590.21396,
ENRIN,NSE:ENRIN,Siemens Energy India Limited,3120,3133,3152.1,3088.3,3113.7,6.3,0.2,925688,3625,2508.8,112261.968,
ENTERO,NSE:ENTERO,Entero Healthcare Solutions Limited,1033,1053.1,1054.1,1031.5,1050.1,-17.1,-1.63,101046,1563.9,1031.5,4543.849249,
EPACK,NSE:EPACK,EPACK Durable Limited,252.85,265.85,266.2,251.5,263.65,-10.8,-4.1,632907,669.95,251.5,2399.759805,
EPIGRAL,NSE:EPIGRAL,Epigral Limited,1488,1477,1494.5,1467,1468.4,19.6,1.33,24697,2180,1398,6169.003968,
EPL,NSE:EPL,EPL Limited,205.4,204.04,206.1,202.91,204.04,1.36,0.67,657490,289.9,175.28,6473.0472,
EQUIPPP,NSE:EQUIPPP,Equippp Social Impact Technologies Limited,17.49,17.7,17.7,17.12,17.68,-0.19,-1.07,23606,30.1,16.15,167.3795776,
EQUITASBNK,NSE:EQUITASBNK,Equitas Small Finance Bank Limited,65.62,65.75,66.13,65.2,65.63,-0.01,-0.02,3955274,75.5,50,7369.716888,
ERIS,NSE:ERIS,Eris Lifesciences Limited,1610,1622.5,1635.7,1602.1,1616.6,-6.6,-0.41,90222,1910,1097.2,22723.1536,
ESABINDIA,NSE:ESABINDIA,Esab India Limited,5662,5600,5725,5594,5619.6,42.4,0.75,16264,6420,4133.05,8794.042878,
ESAFSFB,NSE:ESAFSFB,ESAF Small Finance Bank Limited,26.57,26.61,26.82,26.45,26.69,-0.12,-0.45,340935,42.99,24.31,1349.755984,
ESCORTS,NSE:ESCORTS,Escorts Kubota Limited,3852,3686.5,3860,3670,3686.6,165.4,4.49,83840,4180,2776.4,41967.54,
ESSARSHPNG,NSE:ESSARSHPNG,Essar Shipping Limited,29.51,29,30.5,29,29.14,0.37,1.27,1116510,43.26,21.5,602.9974095,
